"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-363133"	-1.13370553367192	-1.62821124172149	6.14931218438593	47.0745581063008	3.79849005006569e-14	3.02622560680421e-12	"gene-363133"
"gene-402450"	3.58283929032286	5.24967938145232	4.93584934621977	46.9859478638519	3.95442699949106e-14	3.12694839452293e-12	"gene-402450"
"gene-221107"	-0.477912442226476	-0.911007908201113	6.90538474242669	46.9383866576061	4.0408182311072e-14	3.1410632700309e-12	"gene-221107"
"gene-57859"	-0.873606133779835	-1.27402049268777	5.37388788159712	46.9370216178244	4.04332609931641e-14	3.1410632700309e-12	"gene-57859"
"gene-243547"	-0.50680874796033	-1.06636257738579	7.78684526822083	46.9273131957319	4.06120864471718e-14	3.1410632700309e-12	"gene-243547"
"gene-30322"	-0.59068024021199	-1.03671577443367	5.36867910919862	46.8219385500319	4.26060389703645e-14	3.2714028183332e-12	"gene-30322"
"gene-39831"	2.23244638459882	3.02401952049628	4.85749491419388	49.7521956810425	4.71630086931267e-14	3.59524633174367e-12	"gene-39831"
"gene-302394"	-1.30673293081844	-2.32813357198001	8.73180055728899	46.5157087741658	4.89902233541659e-14	3.70786004757673e-12	"gene-302394"
"gene-343099"	-0.473465657443801	-0.602573792728973	5.97930524538895	46.4373642380395	5.07759075373805e-14	3.81575543451123e-12	"gene-343099"
"gene-222618"	-0.990752503924987	-1.08832061795912	4.32699110094458	46.4014755547158	5.16160690738823e-14	3.84121887744211e-12	"gene-222618"
"gene-170648"	-0.948600831690282	-1.91045005420339	7.4182872397075	46.3920204382152	5.18397791123274e-14	3.84121887744211e-12	"gene-170648"
"gene-245652"	-0.721464856874262	-1.29243241061366	7.63260081765622	46.1447699226517	5.80566793053944e-14	4.27200398555527e-12	"gene-245652"
"gene-365693"	-0.816548473608632	-1.35949950282887	8.86178152893186	46.0411198479535	6.08856882399082e-14	4.43843115578316e-12	"gene-365693"
"gene-320821"	-0.666723934945706	-1.37969397692272	8.05996451560178	46.0314691889814	6.11561861782127e-14	4.43843115578316e-12	"gene-320821"
"gene-17262"	-1.71573373938113	-3.59439376652172	7.9775320239649	45.9191372661406	6.43969269599869e-14	4.64183563311579e-12	"gene-17262"
"gene-203965"	0.382045677210139	1.00136232319052	5.76204809787914	45.8374691377429	6.68631919057483e-14	4.76772676613953e-12	"gene-203965"
"gene-205319"	-0.787418582338916	-1.08770980547621	5.39273531810039	45.8316251112754	6.70433454279719e-14	4.76772676613953e-12	"gene-205319"
"gene-331776"	-0.867045638773831	-1.78399442988048	4.50385798144166	45.7911317585263	6.8305384724278e-14	4.825092376923e-12	"gene-331776"
"gene-97398"	3.53654124869	4.95039717825327	4.360923960089	45.7023442913393	7.11585789831502e-14	4.99335299937391e-12	"gene-97398"
"gene-13592"	-1.1522197918847	-1.73338735302879	5.94524456806518	45.4907864305048	7.84601747117645e-14	5.4695000739859e-12	"gene-13592"
"gene-341425"	2.90627204465066	4.25491139145277	3.51311063354034	45.3274513841577	8.46202239163077e-14	5.86036531122351e-12	"gene-341425"
"gene-393138"	-0.945175717653699	-1.62290141289888	6.14187081438752	45.1786470585101	9.06638588845583e-14	6.21676562797713e-12	"gene-393138"
"gene-238577"	0.523678770008395	1.23703032549601	5.19464581299563	45.1720967519331	9.09398520513831e-14	6.21676562797713e-12	"gene-238577"
"gene-79485"	-0.544427493195176	-0.729570423112813	6.85931845547182	45.1207151518533	9.31348941571293e-14	6.32600858005732e-12	"gene-79485"
"gene-30604"	-4.23951125627025	-7.57045683385333	4.95657942344365	45.0837238495459	9.47487597066838e-14	6.39463603727402e-12	"gene-30604"
"gene-26108"	2.52910644667707	4.05058633322596	3.02049934347345	45.0154416488482	9.78035454805092e-14	6.55902764500934e-12	"gene-26108"
"gene-313040"	-0.704032752093727	-1.55969304827398	10.4530460696141	44.890932689056	1.03636432800578e-13	6.86567137198853e-12	"gene-313040"
"gene-228465"	-0.718591737092666	-1.85516060434595	6.74200447481685	44.8739983073976	1.04456877643509e-13	6.86567137198853e-12	"gene-228465"
"gene-57242"	1.97366155664889	4.54145568480335	4.14242382140074	44.8641844141367	1.04935391536109e-13	6.86567137198853e-12	"gene-57242"
"gene-8715"	3.78723930734738	5.49692422364314	4.68971886136939	44.8635214956451	1.04967795607979e-13	6.86567137198853e-12	"gene-8715"
"gene-130302"	0.794541781321451	2.24449534648768	4.33640064682313	44.8317540129674	1.06532709996005e-13	6.92527972464829e-12	"gene-130302"
"gene-156968"	-1.40483851454413	-1.9771026910259	3.39009433510908	44.7786399567506	1.09202843092396e-13	6.97462684784079e-12	"gene-156968"
"gene-351823"	-0.376010206752603	-0.972813947201592	8.31929118004719	44.7776819405906	1.0925162935989e-13	6.97462684784079e-12	"gene-351823"
"gene-321653"	-0.576692198647049	-0.901928070130586	8.5204769269666	44.7773896003658	1.09266521021288e-13	6.97462684784079e-12	"gene-321653"
"gene-127607"	-1.20182653871082	-1.95103922368886	5.06553179488905	44.7076929695769	1.12876921095507e-13	7.16193925705382e-12	"gene-127607"
"gene-116890"	-0.893595569476581	-2.16560055765706	6.28795330252178	44.5930605685678	1.19083371666619e-13	7.51075837011601e-12	"gene-116890"
"gene-174050"	0.878610710901946	1.20203809472627	4.46803154790552	44.4783063820788	1.25647454511781e-13	7.87787235507004e-12	"gene-174050"
"gene-257393"	-0.647936311508546	-0.810200661199019	7.22911614229262	44.4364324306058	1.28134123006999e-13	7.98652451401274e-12	"gene-257393"
"gene-143631"	-1.20717620153917	-2.88030796519026	8.04183567350692	44.3881027857759	1.31067002091018e-13	8.12155528746447e-12	"gene-143631"
"gene-174315"	-1.16423488513952	-2.06719161009276	7.80258742413207	44.366163892401	1.32420995828583e-13	8.15774925464919e-12	"gene-174315"
"gene-267435"	-1.22592254427988	-2.7705666277293	8.0972434268992	44.3515752347976	1.33329291661054e-13	8.16622644185277e-12	"gene-267435"
"gene-295673"	3.62742687318799	4.49164444615814	3.90821345687676	44.1968650097431	1.43364074201687e-13	8.73037776000618e-12	"gene-295673"
"gene-306260"	3.54079056276371	4.81879422077145	4.15777162159105	44.0296530814678	1.55084214991981e-13	9.3901276688859e-12	"gene-306260"
"gene-242872"	2.28242278985773	3.64072889361011	3.73197236123298	48.1844024731335	1.65432696296444e-13	9.95980028384728e-12	"gene-242872"
"gene-147790"	2.92498184727978	4.31147854263868	4.57887887979785	43.8338765149797	1.70063892553884e-13	1.01807740423783e-11	"gene-147790"
"gene-243284"	-1.18908065236045	-2.08763885360068	5.9843670767909	43.706889782698	1.80566340524858e-13	1.07240334078024e-11	"gene-243284"
"gene-79088"	-0.812579451489834	-1.65184658895979	9.37998589337123	43.6999058624573	1.81162889769407e-13	1.07240334078024e-11	"gene-79088"
"gene-105007"	1.05158056026701	2.1863745413796	4.31129655892643	43.652047304359	1.85305608173629e-13	1.09083234678209e-11	"gene-105007"
"gene-187157"	2.66837774285355	3.85390871215494	4.54411210148191	43.2071741632317	2.28790268336044e-13	1.33810443095686e-11	"gene-187157"
"gene-79536"	3.82424269660319	5.2389565033967	4.35517489312294	43.1975698115885	2.2983673691407e-13	1.33810443095686e-11	"gene-79536"
"gene-426158"	-0.960237148910465	-2.07121461674161	8.39733937455958	43.1760331459449	2.32201206586989e-13	1.34448305191024e-11	"gene-426158"
"gene-73300"	-1.74854704577996	-2.30941041496768	4.42118461756879	43.1234467690717	2.38079960477331e-13	1.37103003327054e-11	"gene-73300"
"gene-174594"	-1.63127552811571	-3.14100287150641	6.5033750392479	43.0483348864111	2.46742788931166e-13	1.41323599541331e-11	"gene-174594"
"gene-367095"	-1.02016448283683	-1.51439730415081	8.61269838772885	42.9808440520073	2.54802297799197e-13	1.4515511545593e-11	"gene-367095"
"gene-246732"	-0.377249826969838	-1.12658203474592	5.35192251494356	42.9156013068739	2.62850108535689e-13	1.48939024066532e-11	"gene-246732"
"gene-200694"	-0.413727308009894	-1.05857151651349	6.99207329573048	42.6947488598226	2.92080810650524e-13	1.64199734382476e-11	"gene-200694"
"gene-22297"	-0.553458915729909	-0.931700730595975	5.66383393915154	42.6890213138016	2.92881745925708e-13	1.64199734382476e-11	"gene-22297"
"gene-408140"	4.69458807179069	6.95647519667195	0.148289768131196	42.6293510960798	3.01361179743215e-13	1.67448995450954e-11	"gene-408140"
"gene-220664"	0.388642130444848	0.777365300815867	5.02088232532452	42.6260467656743	3.01838034457647e-13	1.67448995450954e-11	"gene-220664"
"gene-356255"	3.13802417051614	4.22120020759084	4.6883261889691	42.5982000852787	3.05887513931704e-13	1.67994735642247e-11	"gene-356255"
