"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-253623"	4.60194799757731	5.77823008356822	5.75272450737229	42.5974819714466	3.05992676283066e-13	1.67994735642247e-11	"gene-253623"
"gene-330274"	-1.25279409647277	-2.30678834388303	6.80318059185451	42.5745964455161	3.09363581315231e-13	1.68969923072999e-11	"gene-330274"
"gene-125903"	-0.396581747837808	-0.854809428402654	5.42997171701399	42.5465267120309	3.13550152288179e-13	1.703783289049e-11	"gene-125903"
"gene-134098"	-0.647706614258629	-1.18886013068733	6.7021241563673	42.5029998196782	3.20157391189673e-13	1.73081005971723e-11	"gene-134098"
"gene-235586"	-0.819882111616062	-1.25833488504922	8.41446629618758	42.4745101594832	3.24559189780696e-13	1.74570008878998e-11	"gene-235586"
"gene-16181"	2.70438769998225	3.86505848348765	2.98608056373041	46.4680096499273	3.310974227891e-13	1.77187287468349e-11	"gene-16181"
"gene-280975"	3.60359851850213	4.41337802929999	4.6208270934733	44.9180894677189	3.57384791647955e-13	1.90293932276469e-11	"gene-280975"
"gene-310065"	-0.700615684376436	-1.57239080646928	8.3054398650097	42.2391440277997	3.63384880272684e-13	1.92521309568468e-11	"gene-310065"
"gene-324223"	-0.514803909540293	-0.741092561021401	6.98365316513478	42.2177856371096	3.67136041355569e-13	1.92623567966736e-11	"gene-324223"
"gene-170879"	0.828716753009191	1.88393353875357	3.64758708845454	42.2173459881459	3.67213672416767e-13	1.92623567966736e-11	"gene-170879"
"gene-315114"	0.73045360086788	2.77029903625008	2.54197657605551	42.1688199313268	3.7588648470399e-13	1.96201635070122e-11	"gene-315114"
"gene-413602"	-0.75778147403776	-0.885321678669873	5.92698480893593	42.1534726818906	3.7867292629464e-13	1.96295132230858e-11	"gene-413602"
"gene-180052"	-1.33861472040999	-2.55163145737936	5.51218755358017	42.1474581739575	3.79770688064609e-13	1.96295132230858e-11	"gene-180052"
"gene-175551"	-0.759252976492868	-1.17639830149771	7.26521670270834	42.121686875993	3.84511518528427e-13	1.97780779142098e-11	"gene-175551"
"gene-328666"	-1.50719996125756	-3.44471015792273	8.12817879231202	42.0767765807597	3.9291867828573e-13	2.01128807493507e-11	"gene-328666"
"gene-153056"	3.02369034789888	4.3741198965212	2.78618768561415	41.9144527632984	4.2491032634009e-13	2.16459125860557e-11	"gene-153056"
"gene-181373"	-0.749201193098194	-1.40993898689163	7.91141797970314	41.839171128083	4.40642355277079e-13	2.23399349115594e-11	"gene-181373"
"gene-354489"	0.729589700838284	1.46904538217025	3.5168774009761	41.8180481903087	4.45162968839614e-13	2.24616515134503e-11	"gene-354489"
"gene-211528"	0.581850651590435	1.00399943265685	5.07410583788976	41.8044847035525	4.48090801591722e-13	2.25022281216393e-11	"gene-211528"
"gene-334373"	-0.992805606446805	-1.85013537950245	3.14449400366322	41.7322937552958	4.64009705379393e-13	2.31007228243654e-11	"gene-334373"
"gene-194412"	2.97840062579069	4.27700225859263	2.78960467346819	41.7306938292657	4.6436900354755e-13	2.31007228243654e-11	"gene-194412"
"gene-301823"	-1.09127660573676	-3.05150128257263	5.73608691493149	41.6435312149413	4.84380796579964e-13	2.3983639815707e-11	"gene-301823"
"gene-17909"	-0.513006242530296	-0.649890210404703	4.89679902361271	41.6307340251434	4.87392521858808e-13	2.40010450629801e-11	"gene-17909"
"gene-61479"	2.74199781729511	3.96131868920371	4.98607844087031	41.6228288910909	4.89262526765166e-13	2.40010450629801e-11	"gene-61479"
"gene-129873"	-0.444862552267761	-1.33113762709006	8.76025122541567	41.560666507969	5.04226231079322e-13	2.4621111265053e-11	"gene-129873"
"gene-189724"	3.4784965881759	4.82459423488771	2.55348718736121	45.3999210416518	5.13822241957205e-13	2.49745893384337e-11	"gene-189724"
"gene-48823"	0.565482907486157	1.37166246002743	4.54192155171674	41.4979295676992	5.19804542540101e-13	2.51152279426962e-11	"gene-48823"
"gene-247825"	0.339101970540546	1.10835213609513	5.68965566633731	41.4913912955638	5.2145622380079e-13	2.51152279426962e-11	"gene-247825"
"gene-196757"	2.62585909534796	3.75229937892658	2.49194896324376	41.4770302993434	5.25102982491187e-13	2.51764307804372e-11	"gene-196757"
"gene-252747"	0.455646434234353	2.66741472734582	4.42879973991608	41.1461630664635	6.16773443168931e-13	2.94384297469279e-11	"gene-252747"
"g8782"	-2.78375311556927	-3.80661449352203	0.202461841266179	41.110766452454	6.27507179280836e-13	2.98164397832275e-11	"g8782"
"gene-414320"	1.04311215181794	1.94612361229145	7.83231761265696	41.0856626835434	6.35235654219846e-13	3.00489151433638e-11	"gene-414320"
"gene-326008"	-0.40019773613317	-0.74070993668956	4.91546818239417	41.0013100500404	6.61927197948019e-13	3.1090410232025e-11	"gene-326008"
"gene-114947"	-0.675355564566987	-0.724599734389858	6.29336638505669	40.9976184943814	6.63121245039415e-13	3.1090410232025e-11	"gene-114947"
"gene-393468"	-0.985067496912931	-1.61833615593954	4.82395092780547	40.9775024744398	6.69666771461697e-13	3.12589828652341e-11	"gene-393468"
"gene-157103"	-0.977114150028905	-1.49642887686238	9.38268263108723	40.9681770786648	6.72723593139549e-13	3.1263943828538e-11	"gene-157103"
"gene-162992"	1.10883285482497	1.84547513302863	3.4477557187794	40.9563972142847	6.76605444897218e-13	3.13070362189123e-11	"gene-162992"
"gene-137003"	-1.06212016265482	-1.66618368660617	9.62556564398076	40.9321893869475	6.84654994266291e-13	3.15148486847807e-11	"gene-137003"
"gene-276836"	-0.58713829080974	-0.99453175980955	9.2713416016573	40.9250576284267	6.87045115721438e-13	3.15148486847807e-11	"gene-276836"
"gene-277647"	1.66963987384682	2.63975664810865	4.28270034462269	40.9034957291376	6.94323500999483e-13	3.17114302439247e-11	"gene-277647"
"gene-185170"	-0.899183324161292	-1.62280515983714	9.97055138460223	40.8873752813583	6.99816708821186e-13	3.18251409728296e-11	"gene-185170"
"gene-227996"	1.25502283256633	2.13904168216186	5.14310308194704	40.874907993939	7.04095616670596e-13	3.18828938215455e-11	"gene-227996"
"gene-102776"	0.77196098024865	1.30492210236067	4.34659970095732	40.5907263795914	8.09259109150013e-13	3.64889766832065e-11	"gene-102776"
"gene-79470"	-0.408300950077208	-0.87934879071191	6.62520811774228	40.5710684085261	8.17104388584813e-13	3.65516095045762e-11	"gene-79470"
"gene-315004"	-0.945202314773557	-1.33456818001024	7.35965523665082	40.567533686536	8.18523309804597e-13	3.65516095045762e-11	"gene-315004"
"gene-137421"	-0.621755619132652	-1.29174044235228	8.92961380183672	40.5613866647615	8.20996891476892e-13	3.65516095045762e-11	"gene-137421"
"gene-87838"	2.82527931879991	3.93637080488401	4.3141937528543	44.2539050366101	8.2897618268512e-13	3.67524336055713e-11	"gene-87838"
"gene-224067"	-1.68484745111423	-3.26200695712703	-0.786663647640647	40.424772627994	8.7799467404756e-13	3.87634648591998e-11	"gene-224067"
"gene-121758"	-0.764647685169744	-1.40889167952189	9.85208918506948	40.290802591191	9.3783566888454e-13	4.10755579170958e-11	"gene-121758"
"gene-175085"	-0.720190779029543	-0.889169303445172	4.34929434963924	40.2901942333145	9.38116743670932e-13	4.10755579170958e-11	"gene-175085"
"gene-133861"	-0.610526022632098	-1.06194388083188	6.26502807872508	40.2802560909007	9.42720638354249e-13	4.10826493238392e-11	"gene-133861"
"gene-279975"	-1.92762876797264	-2.7531647918173	5.34818348828391	40.2731364856604	9.46033072387388e-13	4.10826493238392e-11	"gene-279975"
"gene-280872"	0.634376297100823	1.91912349569905	8.18789785941637	40.2074933533504	9.77142053041447e-13	4.2260396710315e-11	"gene-280872"
"gene-214179"	3.36570421337005	4.81960709479439	4.05263046105163	40.1047437243521	1.02795798896259e-12	4.41494082470866e-11	"gene-214179"
"gene-7406"	-0.670559861688892	-1.324235556577	8.19611834173704	40.1023908250139	1.02915287250193e-12	4.41494082470866e-11	"gene-7406"
"gene-136337"	2.31650749856036	3.33376217791548	3.76811496504944	47.7865996848433	1.08464752260106e-12	4.62481714394206e-11	"gene-136337"
"gene-362311"	-0.675889839579791	-1.45713404068225	7.67422954054713	39.9920723207225	1.08680584073384e-12	4.62481714394206e-11	"gene-362311"
"gene-359419"	-1.11701367287752	-1.47939310398662	8.42375076462443	39.90009792881	1.13739946167382e-12	4.82075387835832e-11	"gene-359419"
"gene-32203"	1.00951838071602	1.79144507242516	5.76489039685783	39.8432873707061	1.16985081704451e-12	4.9385415368142e-11	"gene-32203"
"gene-271328"	0.380427406782963	1.40674834767566	6.17472191727705	39.7868908371707	1.20300548270608e-12	5.05835162490225e-11	"gene-271328"
"gene-210389"	3.86357677109427	5.60067281782618	4.12138525884574	42.1351271326692	1.21399749442241e-12	5.08439424936755e-11	"gene-210389"
"gene-259741"	3.32565209075632	4.63407370331311	2.7482431980063	39.6794777087532	1.26884347820621e-12	5.29317539176101e-11	"gene-259741"
"gene-411161"	-0.944032545259339	-1.11467310267123	6.39673092810358	39.4287912158095	1.43726688405668e-12	5.97226662880965e-11	"gene-411161"
"gene-145538"	2.37010167098497	3.24232101080482	4.9992513493109	39.4209233745557	1.44290943840595e-12	5.97229234740212e-11	"gene-145538"
"gene-119863"	2.424679326549	3.04212489741612	9.84559688568661	39.3414947969248	1.50116152551139e-12	6.1845761059927e-11	"gene-119863"
"gene-377584"	-0.398272310748149	-0.503233231658655	6.30882419085491	39.3352123270911	1.50587073928475e-12	6.1845761059927e-11	"gene-377584"
"gene-30328"	6.88905423854832	9.36560468221839	8.8080491307156	39.2804553343621	1.54756250557165e-12	6.33126343978271e-11	"gene-30328"
"gene-83189"	2.43851917309736	3.74443089528469	2.4951981387241	39.2647598745369	1.55972992090705e-12	6.35649932381964e-11	"gene-83189"
"gene-9417"	-0.692521254870433	-1.50956909608186	7.77955643032369	39.2525820857841	1.56923793479411e-12	6.37074527091126e-11	"gene-9417"
"gene-31263"	3.42530598494892	4.63352814136473	4.28666537455598	42.6857338977457	1.61398973597755e-12	6.52741803145728e-11	"gene-31263"
"gene-350043"	-0.532391339843647	-1.11357511604308	8.63767665472685	39.1390507808076	1.66079163861838e-12	6.69115901247161e-11	"gene-350043"
"gene-13300"	-0.664226389897547	-1.22225347376269	7.61719675207338	39.1115407518443	1.68378949144368e-12	6.75811873156714e-11	"gene-13300"
"gene-101124"	-0.981703365785904	-1.98176112240207	6.38641220259169	39.0630967399272	1.72508493018851e-12	6.89773581897263e-11	"gene-101124"
"gene-147032"	-1.41342312830884	-3.28251692113433	3.41864286397749	39.0489435346202	1.73734463494031e-12	6.89868196134947e-11	"gene-147032"
"gene-321775"	-1.30167646373472	-1.89974920295002	1.72441237043448	39.0477956591996	1.73834284983042e-12	6.89868196134947e-11	"gene-321775"
"gene-215910"	-0.414208960246351	-0.650240912796927	8.19184071815274	39.0358773489487	1.74874207078156e-12	6.91405633656767e-11	"gene-215910"
"gene-172959"	0.466687909696493	0.922888850671029	5.22495477537863	38.9849456945233	1.79390601131979e-12	7.04715995378104e-11	"gene-172959"
"gene-185524"	3.31848938771135	4.54188829883029	2.87310032392352	38.9829399168254	1.79570893499517e-12	7.04715995378104e-11	"gene-185524"
"gene-200721"	-0.601869785514772	-1.24830569676778	8.72899964168225	38.9330531829754	1.84115333400627e-12	7.18525971953834e-11	"gene-200721"
"gene-164192"	-0.77691140237846	-1.47006884693776	7.21398927259035	38.9294718607912	1.84446078115744e-12	7.18525971953834e-11	"gene-164192"
"gene-285922"	3.78917249081393	4.83351715485672	3.56560691408685	38.7312740205545	2.03733567781734e-12	7.89825393094308e-11	"gene-285922"
"gene-183526"	3.10216340186947	4.49772064641749	2.23644686519862	38.7263379672478	2.04239484435486e-12	7.89825393094308e-11	"gene-183526"
"gene-254639"	-0.632070838573351	-1.55180575871674	8.69986222658187	38.6901252373675	2.07990697714809e-12	8.0022215809928e-11	"gene-254639"
"gene-76751"	-0.872721700722423	-1.48112643195699	7.66077394776809	38.6858482217673	2.08438387726879e-12	8.0022215809928e-11	"gene-76751"
"gene-402875"	-0.539789567224416	-0.796866306390551	7.54733424613195	38.6657295143561	2.10557578212653e-12	8.05439746838004e-11	"gene-402875"
"gene-426390"	2.77307860282064	3.5578101113638	3.23459468639003	38.609857900129	2.16559432988845e-12	8.2541861580928e-11	"gene-426390"
"gene-72937"	-0.394691454166812	-0.679153256963135	6.72195613030089	38.5781811262018	2.20039882603609e-12	8.35678349845104e-11	"gene-72937"
"gene-56796"	-0.415715315336018	-0.790517136500245	11.287214135359	38.556235331379	2.2248474696135e-12	8.41945849572309e-11	"gene-56796"
"gene-26733"	1.93338666599104	2.91339102960314	3.82111706853431	38.5374384179929	2.24600955262225e-12	8.46929438419407e-11	"gene-26733"
"gene-199895"	2.75080430810041	5.47589144122593	3.72187522300748	38.5229989801418	2.26240599358707e-12	8.50087018015909e-11	"gene-199895"
"gene-367523"	-1.06218335675665	-1.92285538136055	8.52887452992543	38.4489147751223	2.34848252421542e-12	8.76367850343031e-11	"gene-367523"
"gene-294758"	2.74236036108691	3.58560752176343	4.46236002125523	38.448570053449	2.34889080310892e-12	8.76367850343031e-11	"gene-294758"
"gene-130665"	0.656338712675257	1.44373000356757	7.99532458010641	38.441151864001	2.35769436322258e-12	8.76565946410754e-11	"gene-130665"
"gene-7154"	3.31266107056225	4.49763233964496	6.26884326239547	38.4175811767269	2.3858921963146e-12	8.8170666869942e-11	"gene-7154"
"gene-105992"	-0.49911593850197	-0.47078944299785	4.92429909017894	38.4156949593334	2.38816358924815e-12	8.8170666869942e-11	"gene-105992"
"gene-383777"	-0.438866312394702	-0.586679448837773	6.49643946455864	38.3708827913651	2.44278383589562e-12	8.98740886289929e-11	"gene-383777"
"gene-164424"	-0.625327290736837	-0.677970295187502	7.06085298062781	38.3534022677439	2.46443621400299e-12	9.03569762061444e-11	"gene-164424"
"gene-199414"	-1.00117659496891	-1.87615515669081	4.47477484729662	38.337990179341	2.48368975882934e-12	9.07488851191576e-11	"gene-199414"
"gene-517"	2.47180346459698	3.66859627912717	1.74191657607697	40.5306108219976	2.50780882822583e-12	9.11341106820957e-11	"gene-517"
"gene-291029"	3.59098367115522	5.39411386931008	2.16698533297219	38.3159951859541	2.51143453370819e-12	9.11341106820957e-11	"gene-291029"
"gene-280698"	3.39810951412291	4.55692165768496	3.80023314802905	38.308797578869	2.5205825549773e-12	9.11539001793155e-11	"gene-280698"
"gene-402536"	-0.644997471898923	-1.46595553683828	9.64775506804552	38.2655742022147	2.57624214111377e-12	9.27593844366809e-11	"gene-402536"
"gene-198937"	2.9340103339623	4.61596594908221	2.27845393580482	40.4664303037851	2.5824856935467e-12	9.27593844366809e-11	"gene-198937"
"gene-305278"	0.71686725968429	1.02152683132817	4.60875808091954	38.24747944262	2.59991595502766e-12	9.30699643901117e-11	"gene-305278"
"gene-166071"	2.38087668448268	3.30399792048993	4.40714368097011	38.2303728117732	2.62250215311435e-12	9.35624000484837e-11	"gene-166071"
"gene-262574"	3.13333085680226	4.28236290860743	4.69198384999591	38.0479751789825	2.87621499675189e-12	1.02269711763701e-10	"gene-262574"
"gene-279942"	-1.56137783309354	-2.89765771106499	5.73219636699335	38.0085051333512	2.93435379529932e-12	1.03988002725724e-10	"gene-279942"
"gene-414094"	0.746158623165634	1.55696497735499	3.90146676958687	37.9722650977396	2.98879610657159e-12	1.05564278484108e-10	"gene-414094"
"gene-59022"	-0.776697642932536	-1.43115793192354	8.32409130325519	37.9401500492356	3.03790710621224e-12	1.06942404310382e-10	"gene-59022"
"gene-53233"	3.96160409107688	5.17708760795557	2.2938615990137	40.0298259161966	3.15515708291186e-12	1.10702133942166e-10	"gene-53233"
"gene-100197"	0.778277562788364	1.4330540180504	4.07518667869154	37.7760330384265	3.30211525844434e-12	1.15475951414113e-10	"gene-100197"
"gene-169087"	-0.48056366334153	-0.523645533803554	7.60560830387186	37.7594097192429	3.33015933342425e-12	1.16073579924222e-10	"gene-169087"
"gene-358125"	-0.46032263777595	3.33018423207545	3.9479140986297	37.7228415974526	3.39271386552176e-12	1.1779768288358e-10	"gene-358125"
"gene-125638"	-0.770553270879646	-1.54520713761809	10.9807276441506	37.7127231976364	3.41023465718765e-12	1.1779768288358e-10	"gene-125638"
"gene-122060"	0.990718878571387	4.15645619134977	1.9582650039117	37.711145149028	3.41297552333512e-12	1.1779768288358e-10	"gene-122060"
"gene-17349"	-0.591212667190972	-0.832942338629721	8.07546352285245	37.6415228238876	3.53617671136836e-12	1.21653663745646e-10	"gene-17349"
"gene-120784"	2.15969664617383	4.36240962325416	7.54063553484383	37.6084156678999	3.59635305565190e-12	1.23022564677336e-10	"gene-120784"
"gene-170302"	2.38374128799311	3.59618863919855	2.62981328255533	37.6068700648043	3.59918790581107e-12	1.23022564677336e-10	"gene-170302"
"gene-252927"	2.08404204042428	3.41446416369783	3.29331273420592	37.5656636875609	3.67561714750186e-12	1.25230994517459e-10	"gene-252927"
"gene-104948"	1.933298748056	3.21904865354395	4.09294456956701	37.5363559166755	3.73098826941646e-12	1.26710101611336e-10	"gene-104948"
"gene-396660"	-0.678080323666044	-0.879748922622463	3.9400634122913	37.5211918315588	3.7599728478959e-12	1.27286492959441e-10	"gene-396660"
"gene-432055"	3.53915734578798	3.86311575718151	2.72057440816494	37.290135655831	4.23132375800631e-12	1.42461109424684e-10	"gene-432055"
"gene-352883"	-0.786437094026784	-1.22675074022766	6.1186290261302	37.2883874533189	4.23511225639631e-12	1.42461109424684e-10	"gene-352883"
"gene-7080"	1.62859756774953	3.44098923844806	4.53411622194972	37.2663242129218	4.28322520473166e-12	1.4327512041462e-10	"gene-7080"
"gene-232153"	3.28917524207222	4.69172301630044	3.46230517394256	44.0848663359088	4.28635458394059e-12	1.4327512041462e-10	"gene-232153"
"gene-330292"	1.09501413893574	2.2050467294471	2.51226808755531	37.2455672396259	4.32900138769185e-12	1.43937748600111e-10	"gene-330292"
"gene-393215"	-0.638789678553772	-1.23149143261222	7.88682115911087	37.2436085833857	4.33334671606601e-12	1.43937748600111e-10	"gene-393215"
"gene-168067"	-0.606275473219224	-0.806573129291792	5.3377216846429	37.2302784363938	4.36303904856858e-12	1.44471130495727e-10	"gene-168067"
"gene-55294"	2.14219469039483	3.14782018620773	2.96286325882968	37.2153025857784	4.39664611843477e-12	1.45130412058987e-10	"gene-55294"
"gene-140566"	0.544163620209735	1.05002846407923	5.4005793365256	37.1575346994195	4.52878904732277e-12	1.4863460829176e-10	"gene-140566"
"gene-175696"	-0.5489876292324	-1.54247780287119	8.85812201620106	37.1566437493955	4.53085867103044e-12	1.4863460829176e-10	"gene-175696"
"gene-345162"	-0.530320842621776	-1.21292273810773	7.68703818735559	37.1442407048862	4.55977115517728e-12	1.49121404815613e-10	"gene-345162"
"gene-130862"	-1.10037602955104	-2.09021558512035	9.38300327792656	37.1380142788046	4.57435671823349e-12	1.4913810395816e-10	"gene-130862"
